City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-17.55,100,100,2.58,RU,1698368436
1,adamstown,-25.066,-130.1015,22.86,77,65,3.11,PN,1698368437
2,waitangi,-43.9535,-176.5597,13.79,76,100,7.6,NZ,1698368437
3,emerald,-23.5333,148.1667,24.08,13,0,4.89,AU,1698368438
4,badger,64.8,-147.5333,-0.57,84,40,0.0,US,1698368439
5,guerrero negro,27.9769,-114.0611,18.95,73,0,7.07,MX,1698368150
6,college,64.8569,-147.8028,-0.52,84,40,0.0,US,1698368439
7,kolonia,50.9333,6.95,11.03,91,75,2.57,DE,1698368409
8,tan-tan,28.438,-11.1032,20.48,85,0,5.15,MA,1698368440
9,nongpoh,25.9,91.8833,18.76,95,0,0.87,IN,1698368440
10,kirensk,57.7853,108.1119,1.65,96,100,4.92,RU,1698368440
11,kyabe,9.4515,18.9449,22.02,89,100,1.07,TD,1698368440
12,zeya,53.75,127.2667,-0.96,45,0,1.44,RU,1698368441
13,la passe,45.5549,-0.8967,15.55,78,17,9.35,FR,1698368441
14,atafu village,-8.5421,-172.5159,28.82,77,100,6.07,TK,1698368441
15,northam,51.0333,-4.2167,12.59,97,100,7.35,GB,1698368441
16,edson,53.5835,-116.4356,-4.92,86,100,3.09,CA,1698368441
17,port mathurin,-19.6833,63.4167,24.53,74,100,5.33,MU,1698368441
18,oneonta,42.4529,-75.0638,17.38,92,100,2.35,US,1698368361
19,olonkinbyen,70.9221,-8.7187,-0.63,72,60,1.55,SJ,1698368442
20,labasa,-16.4167,179.3833,27.56,71,100,7.96,FJ,1698368442
21,helena valley southeast,46.6153,-111.9216,-7.63,91,19,0.61,US,1698368442
22,port-aux-francais,-49.35,70.2167,2.17,80,6,7.18,TF,1698368442
23,bredasdorp,-34.5322,20.0403,14.09,77,100,2.58,ZA,1698368442
24,yellowknife,62.456,-114.3525,-2.62,77,75,3.6,CA,1698368443
25,puerto ayora,-0.7393,-90.3518,24.19,90,5,3.13,EC,1698368443
26,tekkali,18.6167,84.2333,21.6,86,7,1.99,IN,1698368443
27,kodiak,57.79,-152.4072,6.48,80,98,5.76,US,1698368443
28,lincoln,40.8,-96.667,16.5,90,75,5.14,US,1698368276
29,kerikeri,-35.2268,173.9474,16.62,91,100,0.45,NZ,1698368443
30,cabo san lucas,22.8909,-109.9124,25.66,69,0,3.66,MX,1698368392
31,nar'yan-mar,67.6713,53.087,-11.61,100,58,1.79,RU,1698368444
32,ribeira grande,38.5167,-28.7,19.11,61,100,6.89,PT,1698368444
33,longyearbyen,78.2186,15.6401,-4.09,86,100,4.12,SJ,1698368444
34,isangel,-19.55,169.2667,30.06,74,40,3.09,VU,1698368444
35,grytviken,-54.2811,-36.5092,1.45,98,100,4.03,GS,1698368444
36,anadyr,64.75,177.4833,0.28,93,75,3.0,RU,1698368445
37,chilecito,-29.1619,-67.4974,18.93,61,0,5.9,AR,1698368445
38,keflavik,64.0049,-22.5624,6.24,93,0,1.03,IS,1698368445
39,ortigueira,-24.2083,-50.9494,19.28,98,100,1.53,BR,1698368445
40,saipan,15.1355,145.701,30.39,79,40,4.12,MP,1698368445
41,domanivka,47.6319,30.9885,14.61,75,71,4.3,UA,1698368446
42,lycksele,64.5954,18.6735,-6.07,93,100,0.0,SE,1698368446
43,dudinka,69.4058,86.1778,-12.96,99,58,1.34,RU,1698368446
44,punta arenas,-53.15,-70.9167,4.06,70,40,2.57,CL,1698368446
45,pervomayskoye,43.919,46.7102,16.11,87,100,2.07,RU,1698368446
46,edinburgh of the seven seas,-37.0676,-12.3116,12.6,66,100,7.84,SH,1698368446
47,zhosaly,45.4878,64.0781,2.83,42,100,3.37,KZ,1698368447
48,livingston,55.9029,-3.5226,10.45,90,100,3.6,GB,1698368447
49,genhe,50.7833,121.5167,0.52,42,1,1.36,CN,1698368447
50,uttar char fasson,22.2332,90.7132,23.36,86,0,3.18,BD,1698368447
51,thompson,55.7435,-97.8558,-1.91,46,100,3.6,CA,1698368447
52,as saffaniyah,27.9708,48.73,22.06,52,0,3.57,SA,1698368447
53,ludington,43.9553,-86.4526,17.67,95,75,6.69,US,1698368447
54,lihue,21.9789,-159.3672,23.74,91,100,1.05,US,1698368448
55,jamestown,42.097,-79.2353,19.45,61,0,3.6,US,1698368405
56,westport,41.1415,-73.3579,20.1,74,0,1.54,US,1698368313
57,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,59,0,3.0,RU,1698368448
